,code,occupation,tasks,score
29,1114,Senior Officials Of Special-Interest Organisations,Monitoring and evaluating the performance of the organisation or enterprise against established objectives and policies,0.45
30,1114,Senior Officials Of Special-Interest Organisations,"Representing the organisation on official occasions and at board meetings, in negotiations, at conventions, public hearings and forums",0.2
31,1114,Senior Officials Of Special-Interest Organisations,"Managing, planning, scheduling and monitoring the tasks of other workers.",0.45
32,1121,Managing Directors And Chief Executives,"Planning, directing and coordinating the general functions of the enterprise or organisation",0.2
33,1121,Managing Directors And Chief Executives,Reviewing the operations and results of the enterprise or organisation and reporting to the board of directors and governing bodies,0.3
34,1121,Managing Directors And Chief Executives,"Determining objectives, strategies, policies and programmes for the enterprise or organisation",0.2
35,1121,Managing Directors And Chief Executives,Providing overall leadership and management to the enterprise or organisation,0.15
36,1121,Managing Directors And Chief Executives,"Establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources",0.4
37,1121,Managing Directors And Chief Executives,Monitoring and evaluating the performance of the organisation or enterprise against established objectives and policies,0.3
38,1121,Managing Directors And Chief Executives,Consulting and reviewing recommendations and reports with senior subordinate staff,0.25
39,1121,Managing Directors And Chief Executives,"Representing the organisation at official occasions and board meetings, in negotiations, at conventions, seminars, public hearings and forums",0.2
40,1121,Managing Directors And Chief Executives,Selecting or approving the selection of senior staff,0.2
41,1121,Managing Directors And Chief Executives,Ensuring the organisation complies with relevant legislation and regulations,0.3
42,1121,Managing Directors And Chief Executives,"Managing, planning, scheduling and monitoring the tasks of other workers.",0.3
43,1211,Finance Managers,"Planning, directing, controlling and coordinating the internal financial operations of the enterprise or organisation",0.35
44,1211,Finance Managers,Ensuring the organisation's financial statements have been dealt with in the right manner,0.4
45,1211,Finance Managers,"Assessing the financial situation of the enterprise or organisation, preparing budgets and overseeing various financial operations",0.45
46,1211,Finance Managers,Consulting with the chief executive and with managers of other divisions and departments,0.3
47,1211,Finance Managers,Controlling expenditure and ensuring efficient use of resources,0.45
48,1211,Finance Managers,Planning and directing daily operations,0.3
49,1211,Finance Managers,"Overseeing the selection, training and performance of staff",0.3
50,1211,Finance Managers,Representing the department in its dealings with other divisions of the organisation or with external agencies,0.3
51,1211,Finance Managers,"Managing, planning, scheduling and monitoring the tasks of other workers.",0.4
52,1212,Human Resource Managers,"Planning, directing and coordinating policies concerning activities of personnel and the industrial relations of the enterprise or organisation",0.35
53,1212,Human Resource Managers,"Planning and organising procedures for recruitment, training, promotion, transfer and dismissal of staff",0.45
54,1212,Human Resource Managers,Planning and organising negotiations and procedures for determination of wage structures and levels and for consultation with workers on conditions of employment,0.35
55,1212,Human Resource Managers,"Overseeing safety, health and related activities",0.35
56,1212,Human Resource Managers,"Establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources",0.45
57,1212,Human Resource Managers,Establishing and directing operational and administrative procedures,0.4
58,1212,Human Resource Managers,Overseeing the development and implementation of management information systems,0.35
59,1212,Human Resource Managers,"Ensuring compliance with standards and legislation relating to employees’ rights, safety and health, equal opportunity and related concerns",0.4
60,1212,Human Resource Managers,"Overseeing the selection, training and performance of staff for the entire enterprise or organisation",0.3
61,1212,Human Resource Managers,Consulting with the senior management and with managers of other departments,0.3
62,1212,Human Resource Managers,Representing the enterprise or organisation in external matters,0.3
63,1212,Human Resource Managers,"Managing, planning, scheduling and monitoring the tasks of other workers.",0.4
64,1213,Policy And Planning Managers,"Developing, implementing and monitoring strategic plans, programmes, policies, processes, systems and procedures to achieve goals, objectives and work standards",0.35
65,1213,Policy And Planning Managers,"Developing, directing, administering and participating in policy research and analysis",0.45
66,1213,Policy And Planning Managers,"Analysing and interpreting results of studies, and preparing reports detailing findings, recommendations or conclusions",0.65
67,1213,Policy And Planning Managers,"Designing, evaluating and modifying policies to ensure that programmes are effective and in compliance with legal requirements",0.35
68,1213,Policy And Planning Managers,"Managing, planning, scheduling and monitoring the tasks of other workers.",0.45
69,1214,Business Services Managers,"Planning, directing and coordinating the business services activities of the enterprise or organisation",0.35
70,1214,Business Services Managers,Planning and organising special sales and marketing programmes based on sales records and market assessments,0.45
71,1214,Business Services Managers,"Planning, administering and reviewing customer services and after-sales services and maintaining good customer relations",0.45
72,1214,Business Services Managers,"Determining price lists, discounts and delivery terms, credit arrangements, product mix, geographical sales areas, sales promotion budgets, sales methods, customer service standards, special incentives and special campaigns",0.65
73,1214,Business Services Managers,Directing merchandising methods and distribution policy by coordinating the work of salespersons or organising appointment of agents and distributors,0.45
74,1214,Business Services Managers,Controlling expenditure and ensuring the efficient use of resources,0.45
75,1214,Business Services Managers,"Monitoring customer service, invoicing, payments and administration costs",0.65
76,1214,Business Services Managers,Establishing and directing operational and administrative procedures,0.45
77,1214,Business Services Managers,Planning and directing daily operations,0.4
78,1214,Business Services Managers,"Overseeing the selection, training and performance of staff",0.3
79,1214,Business Services Managers,Representing the department in its dealings with other divisions of the organisation or with external agencies,0.3
80,1214,Business Services Managers,"Managing, planning, scheduling and monitoring the tasks of other workers.",0.45
81,1215,Administrative Managers,"Providing administrative, strategic planning and operational support, research and advice to senior management on administrative",0.45
82,1215,Administrative Managers,Developing and managing the organization’s administrative and physical resources,0.4
83,1215,Administrative Managers,Developing and implementing administrative and procedural statements and guidelines for use by staff in the organization,0.65
84,1215,Administrative Managers,"Analysing complex resource management issues and initiatives that affect the organization, and preparing associated reports, correspondence and submissions",0.65
85,1215,Administrative Managers,"Leading, managing and developing administrative staff to ensure smooth business operations and the provision of accurate and timely information",0.3
86,1215,Administrative Managers,"Representing the enterprise or organization in negotiations, and at conventions, seminars, public hearings and forums",0.3
87,1215,Administrative Managers,"Establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources",0.45
88,1215,Administrative Managers,"Managing, planning, scheduling and monitoring the tasks of other workers.",0.4
89,1216,Quality Managers,"Ensuring that the organization's Quality Management System complies with customer requirements, internal operations, ISOs, and regulatory / legal requirements",0.35
90,1216,Quality Managers,"Supervise the inspections of incoming materials, ensuring that they meet the needs of the organization",0.3
91,1216,Quality Managers,"Manage monitoring, measurement and review of quality standards",0.45
92,1216,Quality Managers,"Leading the team of quality engineers, inspectors, auditors, analysts, and technicians",0.3
93,1216,Quality Managers,"Maintaining standards, regulations / laws, issues and matters relating to product quality (services)",0.45
94,1216,Quality Managers,"Managing, planning, scheduling and monitoring the work of other employees.",0.4
95,1219,Business Services And Administration Managers Not Elsewhere Classified,Providing information and support for the preparation of financial reports and budgets,0.65
96,1219,Business Services And Administration Managers Not Elsewhere Classified,Planning and implementing policies,0.4
97,1219,Business Services And Administration Managers Not Elsewhere Classified,Making budgetary estimates,0.65
98,1219,Business Services And Administration Managers Not Elsewhere Classified,"Negotiating with suppliers, customers and other organisations",0.35
99,1219,Business Services And Administration Managers Not Elsewhere Classified,Planning and controlling the use of human resources,0.45
100,1219,Business Services And Administration Managers Not Elsewhere Classified,"Managing, planning, scheduling and monitoring the tasks of other workers.",0.45
101,1221,Sales And Marketing Managers,"Planning, directing and coordinating the sales and marketing activities of the enterprise or organisation",0.35
102,1221,Sales And Marketing Managers,Planning and organising special sales and marketing programmes based on sales records and market assessments,0.45
103,1221,Sales And Marketing Managers,"Planning, administering and reviewing customer services and after-sales services and maintaining good customer relations",0.45
104,1221,Sales And Marketing Managers,"Determining price lists, discounts and delivery terms, credit arrangements, product mix, geographical sales areas, sales promotion budgets, sales methods, customer service standards, special incentives and special campaigns",0.45
105,1221,Sales And Marketing Managers,Directing merchandising methods and distribution policy by coordinating the work of salespersons or managing the appointment of agents and distributors,0.35
106,1221,Sales And Marketing Managers,Controlling expenditure and ensuring the efficient use of resources,0.45
107,1221,Sales And Marketing Managers,"Monitoring customer service, invoicing, payments and administration costs",0.65
108,1221,Sales And Marketing Managers,Planning and directing daily operations,0.4
109,1221,Sales And Marketing Managers,"Overseeing the selection, training and performance of staff",0.3
110,1221,Sales And Marketing Managers,Representing the department in its dealings with other divisions of the organisation or with external agencies,0.2
111,1221,Sales And Marketing Managers,"Managing, planning, scheduling and monitoring the tasks of other workers.",0.45
112,1222,Advertising And Public Relations Managers,"Planning, directing and coordinating the advertising and public relations activities of the enterprise or organisation",0.35
113,1222,Advertising And Public Relations Managers,"Negotiating advertising contracts with officials of newspapers, radio and television stations, sports and cultural organisations and advertising agencies",0.3
114,1222,Advertising And Public Relations Managers,"Planning and managing information programmes for legislators, the mass media and general public about the plans, accomplishments and points of view of the enterprise or organisation",0.65
115,1222,Advertising And Public Relations Managers,Controlling expenditure and ensuring the efficient use of resources,0.45
116,1222,Advertising And Public Relations Managers,Establishing and directing operational and administrative procedures,0.35
117,1222,Advertising And Public Relations Managers,Planning and directing daily operations,0.4
118,1222,Advertising And Public Relations Managers,"Overseeing the selection, training and performance of staff",0.3
119,1222,Advertising And Public Relations Managers,Representing the department in its dealings with other divisions of the organisation or with external bodies,0.3
120,1222,Advertising And Public Relations Managers,"Managing, planning, scheduling and monitoring the tasks of other workers.",0.45
121,1223,Research And Development Managers,"Planning, directing and coordinating research and development activities, whether in-house or commissioned by external research organisations, to develop or improve technical processes, products, knowledge or utilisation of materials",0.25
122,1223,Research And Development Managers,"Planning the overall research and development programme of the enterprise or organisation, specifying budgetary requirements",0.3
123,1223,Research And Development Managers,Controlling expenditure and ensuring the efficient use of resources,0.45
124,1223,Research And Development Managers,Planning and directing daily operations,0.45
125,1223,Research And Development Managers,"Overseeing the selection, training and performance of staff",0.3
126,1223,Research And Development Managers,Representing the department in its dealings with other divisions of the organisation or with external agencies,0.3
127,1223,Research And Development Managers,"Managing, planning, scheduling and monitoring the tasks of other workers.",0.45
128,1311,"Agricultural, Forestry And Livestock Production Managers","Coordinating all activities related to the park such as education, development, enforcement, eco-tourism and maintenance",0.35
129,1311,"Agricultural, Forestry And Livestock Production Managers","Analysing statistical data, studies and reports to identify and determine causes of problems and offering recommendations for improvement of agricultural systems, procedures or programmes",0.65
130,1311,"Agricultural, Forestry And Livestock Production Managers",Monitoring agricultural and forestry market activities and planning production to meet market requirements and demand,0.45
131,1311,"Agricultural, Forestry And Livestock Production Managers","Establishing and managing budgets, monitoring production and recording information such as farm management practices, and preparing financial and operational reports",0.45
132,1311,"Agricultural, Forestry And Livestock Production Managers",Conferring with buyers to arrange for the sale of crops and livestock,0.45
133,1311,"Agricultural, Forestry And Livestock Production Managers","Contracting with farmers or independent owners for production of crops and livestock, or for management of production",0.25
134,1311,"Agricultural, Forestry And Livestock Production Managers","Planning the type, intensity and method of farm operations (e.g. determining the best times for planting, spraying and harvestin",0.45
135,1311,"Agricultural, Forestry And Livestock Production Managers",Analysing soil to determine the types and quantities of fertiliser required for maximum production,0.3
136,1311,"Agricultural, Forestry And Livestock Production Managers","Purchasing machinery, equipment and supplies such as tractors, seeds, fertiliser and chemicals",0.45
137,1311,"Agricultural, Forestry And Livestock Production Managers","Identifying and controlling toxins, weeds, pests and diseases on agricultural land and forests",0.4
138,1311,"Agricultural, Forestry And Livestock Production Managers","Organising farming operations such as maintaining buildings, water supply systems and equipment",0.3
139,1311,"Agricultural, Forestry And Livestock Production Managers","Managing, planning, scheduling and monitoring the tasks of other workers.",0.45
140,1312,Aquaculture And Fisheries Production Managers,Planning and implementing policies and legislation,0.35
141,1312,Aquaculture And Fisheries Production Managers,"Planning, directing and coordinating activities concerning the production of aquaculture and fishery to meet market demand",0.35
142,1312,Aquaculture And Fisheries Production Managers,Conducting and organising aquaculture or fishery stock examinations in order to identify diseases or parasites,0.2
143,1312,Aquaculture And Fisheries Production Managers,"Devising and coordinating activities to improve fish hatching and growth rates, and to prevent disease in hatcheries",0.35
144,1312,Aquaculture And Fisheries Production Managers,Monitoring the environment to maintain or improve conditions for aquatic life,0.3
145,1312,Aquaculture And Fisheries Production Managers,"Directing and monitoring trapping and spawning of fish, egg incubation, and applying knowledge of management and fish culturing techniques",0.25
146,1312,Aquaculture And Fisheries Production Managers,Ensuring the efficient use of resources and the fulfilment of production quotas,0.45
147,1312,Aquaculture And Fisheries Production Managers,Planning and directing daily operations,0.45
148,1312,Aquaculture And Fisheries Production Managers,Making budgetary estimates and controlling expenditure,0.65
149,1312,Aquaculture And Fisheries Production Managers,Establishing and directing operational and administrative procedures,0.45
150,1312,Aquaculture And Fisheries Production Managers,Overseeing the application of work safety and related procedures,0.3
151,1312,Aquaculture And Fisheries Production Managers,"Overseeing the selection, training and performance of staff",0.3
152,1312,Aquaculture And Fisheries Production Managers,"Negotiating with suppliers, customers and other organisations",0.3
153,1312,Aquaculture And Fisheries Production Managers," managing, planning, scheduling and monitoring the tasks of other workers.",0.45
154,1321,Manufacturing Managers,Planning and implementing policies and legislation,0.3
155,1321,Manufacturing Managers,"Determining, implementing and monitoring production strategies, policies and plans",0.45
156,1321,Manufacturing Managers,"Planning, directing and coordinating activities concerning the production of goods",0.35
157,1321,Manufacturing Managers,Ensuring the efficient use of resources and the fulfilment of production quotas,0.65
158,1321,Manufacturing Managers,Planning and directing daily operations,0.4
159,1321,Manufacturing Managers,Making budgetary estimates and controlling expenditure,0.65
160,1321,Manufacturing Managers,Establishing and directing operational and administrative procedures,0.35
161,1321,Manufacturing Managers,Overseeing the application of work safety and related procedures,0.3
162,1321,Manufacturing Managers,Identifying business opportunities and determining the products to be manufactured,0.45
163,1321,Manufacturing Managers,"Overseeing the selection, training and performance of staff",0.3
164,1321,Manufacturing Managers,"Negotiating with suppliers, customers and other organisations",0.3
165,1321,Manufacturing Managers,Representing the department in its dealings with other divisions of the enterprise or with external agencies,0.3
166,1321,Manufacturing Managers,Ensuring all production processes meet the manufacturing specification,0.3
167,1321,Manufacturing Managers,"Ensuring optimal utilisation of manpower, machine and equipment",0.45
168,1322,Mining Managers,"Planning, directing and coordinating activities concerning the extraction of minerals, oil and gas",0.35
169,1322,Mining Managers,Conferring with other managers to set production quotas and plan extraction sites,0.35
170,1322,Mining Managers,Ensuring the efficient use of resources and the fulfilment of production quotas,0.45
171,1322,Mining Managers,Planning and directing daily operations,0.35
172,1322,Mining Managers,Making budgetary estimates and controlling expenditure,0.65
173,1322,Mining Managers,Establishing and directing operational and administrative procedures,0.3
174,1322,Mining Managers,Overseeing the application of work safety and related procedures,0.3
175,1322,Mining Managers,"Overseeing the selection, training and performance of staff",0.3
176,1322,Mining Managers,Representing the department in its dealings with other divisions of the enterprise or with external agencies,0.3
177,1322,Mining Managers,"Managing, planning, scheduling and monitoring the tasks of other workers.",0.4
178,1323,Construction Managers,"Planning, directing and coordinating activities concerning the construction of buildings, dams, highways, pipelines and related construction projects",0.35
179,1323,Construction Managers,Interpreting architectural drawings and specifications,0.45
180,1323,Construction Managers,"Negotiating with building owners, property developers and subcontractors involved in the construction process to ensure projects are completed on time and within budget",0.25
181,1323,Construction Managers,"Planning procedures for construction on basis of starting and completion times and staffing requirements for each phase of construction, based on knowledge of available tools and equipment and various building methods",0.45
182,1323,Construction Managers,Planning and organising daily operations,0.45
183,1323,Construction Managers,Controlling expenditure,0.45
184,1323,Construction Managers,Directing operational and administrative procedures,0.4
185,1323,Construction Managers,Overseeing the application of work safety and related procedures,0.3
186,1323,Construction Managers,"Overseeing the selection, training and performance of staff",0.25
187,1323,Construction Managers,"Managing, planning, scheduling and monitoring the tasks of other workers.",0.4
188,1324,"Supply, Distribution And Related Managers","Determining, implementing and monitoring purchasing, storage and distribution strategies, policies and plans",0.45
189,1324,"Supply, Distribution And Related Managers",Preparing and implementing plans to maintain required stock levels at minimum cost,0.65
190,1324,"Supply, Distribution And Related Managers",Planning and implementing policies and legislation,0.35
191,1324,"Supply, Distribution And Related Managers",Ensuring the efficient use of resources and the fulfilment of production quotas,0.65
192,1324,"Supply, Distribution And Related Managers","Operating recording systems to track all movements of goods, and ensuring re-ordering and re-stocking at optimal times",0.7
193,1324,"Supply, Distribution And Related Managers",Planning and directing daily operations,0.45
194,1324,"Supply, Distribution And Related Managers",Controlling expenditure and making budgetary estimates,0.65
195,1324,"Supply, Distribution And Related Managers",Overseeing the application of work safety and related procedures,0.35
196,1324,"Supply, Distribution And Related Managers","Overseeing the selection, training and performance of staff",0.35
197,1324,"Supply, Distribution And Related Managers","Negotiating with suppliers, customers and other organisations",0.4
198,1324,"Supply, Distribution And Related Managers",Coordinating and controlling the order cycle and associated information systems,0.65
199,1324,"Supply, Distribution And Related Managers",Analysing data to monitor performance and plan improvements,0.65
200,1324,"Supply, Distribution And Related Managers","Developing business by securing new contracts, analysing logistical problems and finding solutions",0.35
201,1324,"Supply, Distribution And Related Managers","Managing, planning, scheduling and monitoring the tasks of other workers.",0.45
202,1411,Hotel And Homestay Managers,"Planning and organising accommodation, catering, housekeeping and other hotel services",0.45
203,1411,Hotel And Homestay Managers,Promoting and marketing the business,0.65
204,1411,Hotel And Homestay Managers,Managing budgets and controlling expenditure,0.45
205,1411,Hotel And Homestay Managers,Maintaining statistical and financial records,0.65
206,1411,Hotel And Homestay Managers,Setting and achieving sales and profit targets,0.4
207,1411,Hotel And Homestay Managers,"Recruiting, training and monitoring staff",0.4
208,1411,Hotel And Homestay Managers,Meeting and welcoming customers,0.3
209,1411,Hotel And Homestay Managers,"Providing guests with information on local tourism, and arranging tours and transport",0.7
210,1411,Hotel And Homestay Managers,Addressing problems and troubleshooting,0.45
211,1411,Hotel And Homestay Managers,Ensuring events and conferences run smoothly,0.35
212,1411,Hotel And Homestay Managers,"Supervising maintenance, supplies, renovations and furnishing",0.3
213,1411,Hotel And Homestay Managers,Dealing with contractors and suppliers,0.45
214,1411,Hotel And Homestay Managers,Ensuring security is effective,0.3
215,1411,Hotel And Homestay Managers,Carrying out inspections on property and services,0.3
216,1411,Hotel And Homestay Managers," ensuring compliance with licensing laws, health and safety and other statutory regulations",0.4
217,1412,Restaurant Managers,Analysing and planning restaurant sales levels and profitability,0.45
218,1412,Restaurant Managers,Arranging the purchasing and pricing of goods according to budget,0.65
219,1412,Restaurant Managers,Planning and coordinating menus in consultation with chefs and cooks,0.45
220,1412,Restaurant Managers,Coordinating the operations of the entire restaurant,0.3
221,1412,Restaurant Managers,"Ensuring dining, kitchen and food storage facilities comply with health regulations",0.3
222,1412,Restaurant Managers,"Maintaining high standards of quality control, hygiene and health and safety",0.3
223,1412,Restaurant Managers,Preparing budgetary estimates,0.65
224,1412,Restaurant Managers,Ensuring compliance with occupational health and safety regulations,0.35
225,1412,Restaurant Managers,"Managing, planning, scheduling and monitoring the tasks of other workers.",0.45
226,1421,Retail And Wholesale Trade Managers,"Planning, directing and coordinating activities concerning the trade carried out by the enterprise",0.45
227,1421,Retail And Wholesale Trade Managers,"Formulating and implementing purchasing and marketing policies, and setting prices",0.45
228,1421,Retail And Wholesale Trade Managers,Promoting and advertising the establishment’s goods and services,0.65
229,1421,Retail And Wholesale Trade Managers,Ensuring efficient use of resources and trade quotas are met,0.65
230,1421,Retail And Wholesale Trade Managers,Planning and directing daily operations,0.4
231,1421,Retail And Wholesale Trade Managers,Controlling expenditure,0.65
232,1421,Retail And Wholesale Trade Managers,Establishing and directing operational and administrative procedures,0.45
233,1421,Retail And Wholesale Trade Managers,Overseeing the application of work safety and related procedures,0.3
234,1421,Retail And Wholesale Trade Managers,"Overseeing the selection, training and performance of staff",0.3
235,1421,Retail And Wholesale Trade Managers,"Managing, planning, scheduling and monitoring the tasks of other workers.",0.45
236,1511,Information And Communications Technology Managers,"Directing the formulation of information technology strategies, policies and plans",0.3
237,1511,Information And Communications Technology Managers,"Consulting with users, the management, vendors and technicians",0.4
238,1511,Information And Communications Technology Managers,"Directing information technology operations, computer hardware integration, operating communications systems, software application and data processing",0.3
239,1511,Information And Communications Technology Managers,"Setting priorities between system development, maintenance and operations",0.3
240,1511,Information And Communications Technology Managers,Controlling the security of the information technology systems,0.3
241,1511,Information And Communications Technology Managers,"Managing information technology development projects to ensure that they are completed on schedule, within budget and meet the level of quality to achieve the objective",0.3
242,1511,Information And Communications Technology Managers,Evaluating the organisation's technology use and needs and recommending improvements such as hardware and software upgrades,0.4
243,1511,Information And Communications Technology Managers,Controlling the budget and expenditure of the department or organisation,0.45
244,1511,Information And Communications Technology Managers,"Overseeing the selection, training and performance of staff",0.35
245,1511,Information And Communications Technology Managers,Representing the department in its dealings with other divisions of the organisation or with external agencies,0.3
246,1511,Information And Communications Technology Managers,"Managing, planning, scheduling and monitoring the tasks of other workers.",0.45
247,1611,Child Care Services Managers,Managing multiple professional social service programmes to protect children and families including services and activities pertaining to child abuse,0.2
248,1611,Child Care Services Managers,"Developing and implementing programmes to enhance the physical, social, emotional and intellectual development of young children",0.25
249,1611,Child Care Services Managers,"Planning and monitoring business management, facility management, human resource management and child safety requirements",0.35
250,1611,Child Care Services Managers,Planning and implementing policies,0.4
251,1611,Child Care Services Managers,Making budgetary estimates,0.65
252,1611,Child Care Services Managers,"Negotiating with suppliers, customers and other organisations",0.3
253,1611,Child Care Services Managers,Planning and controlling the use of human resources and hiring of workers,0.4
254,1611,Child Care Services Managers,Managing daily operations,0.3
255,1611,Child Care Services Managers,"Managing, planning, scheduling and monitoring the tasks of other workers.",0.4
256,1612,Health Services Managers,"Providing direction and management for all services, facilities of the organisation or health centre",0.3
257,1612,Health Services Managers,"Directing, supervising and evaluating the activities of medical, nursing, technical, clerical, service, maintenance and other personnel",0.3
258,1612,Health Services Managers,"Developing, implementing and monitoring procedures, policies and performance standards for medical, nursing, technical and administrative staff",0.35
259,1612,Health Services Managers,Advising government bodies about measures to improve health and welfare services and facilities,0.35
260,1612,Health Services Managers,"Managing the recruitment, selection, appraisal and development of staff",0.4
261,1612,Health Services Managers,"Overseeing the day-to-day management of an organisation, a specific unit or a service area",0.3
262,1612,Health Services Managers,Planning and implementing policies,0.35
263,1612,Health Services Managers,"Managing, planning, scheduling and monitoring the tasks of other workers.",0.45
264,1613,Aged Care Services Managers,Providing policy direction and assisting in the development of appropriate funding,0.35
265,1613,Aged Care Services Managers,"Meeting, maintaining and exceeding the high standard of quality care and services",0.2
266,1613,Aged Care Services Managers,"Planning and monitoring business management, facility management, human resource management and safety requirements",0.35
267,1613,Aged Care Services Managers,Planning and implementing policies,0.3
268,1613,Aged Care Services Managers,Making budgetary estimates,0.65
269,1613,Aged Care Services Managers,"Negotiating with suppliers, customers and other organisations",0.3
270,1613,Aged Care Services Managers,Planning and controlling the use of human resources and hiring workers,0.45
271,1613,Aged Care Services Managers,Managing daily operations,0.3
272,1613,Aged Care Services Managers,Advising government bodies about measures to improve health and welfare services and facilities,0.35
273,1613,Aged Care Services Managers,"Managing, planning, scheduling and monitoring the tasks of other workers.",0.45
274,1614,Social Welfare Managers,Providing direction and management for all services and facilities of the organisation or welfare centre,0.25
275,1614,Social Welfare Managers,Developing and implementing objectives and policies for various welfare programmes,0.35
276,1614,Social Welfare Managers,Managing funds and the budget,0.45
277,1614,Social Welfare Managers,Negotiating service contract coverage and making written agreements with the programme providers,0.35
278,1614,Social Welfare Managers,Maintaining liaison with local welfare and social agencies,0.3
279,1614,Social Welfare Managers,Monitoring and evaluating the effectiveness of service delivery methods and procedures,0.45
280,1614,Social Welfare Managers,"Managing, planning, scheduling and monitoring the tasks of other workers.",0.45
281,1615,Education Managers,Determining educational programmes based on frameworks established by education authorities and governing bodies,0.45
282,1615,Education Managers,"Evaluating the work of teachers and lecturers by visiting classrooms, observing teaching methods, reviewing instructional objectives and examining learning materials",0.3
283,1615,Education Managers,Overseeing educational research aimed at providing new directions for the education system,0.3
284,1615,Education Managers,"Representing the organisation on committees to identify present and future needs in the education system, and planning, developing and modifying facilities and programmes",0.25
285,1615,Education Managers,Managing the evaluation of new approaches and development of new courses,0.35
286,1615,Education Managers,Organising and conducting workshops and conferences to train teachers in new programmes and methods,0.35
287,1615,Education Managers,Applying for and managing funding for new educational programmes,0.45
288,1615,Education Managers,"Managing processes related to school reviews, teacher assessment and education planning in primary and secondary schools",0.35
289,1615,Education Managers,Preparing and overseeing the preparation of reports and information papers,0.7
290,1615,Education Managers,"Managing the provision of education in rural or remote areas, or within specific institutions",0.35
291,1615,Education Managers,"Managing, planning, scheduling and monitoring the tasks of other workers.",0.4
292,1616,Financial And Insurance Services Branch Managers,"Planning, directing and coordinating the activities of workers in branches, offices or departments such as the establishment of bank branches, brokerage firms, risk and insurance departments, or credit departments",0.35
293,1616,Financial And Insurance Services Branch Managers,Overseeing the flow of cash and financial instruments,0.45
294,1616,Financial And Insurance Services Branch Managers,Networking within communities to find and attract new business,0.3
295,1616,Financial And Insurance Services Branch Managers,"Approving or rejecting, or coordinating approval and rejection of credit and commercial, real estate and personal loans",0.65
296,1616,Financial And Insurance Services Branch Managers,"Preparing financial and regulatory reports required by the law, regulations and boards of directors",0.65
297,1616,Financial And Insurance Services Branch Managers,"Establishing procedures for custody and control of assets, records, loan, collateral and securities in order to ensure safekeeping",0.35
298,1616,Financial And Insurance Services Branch Managers,"Managing and formulating policies of financial institutions such as banks, trust companies, savings and loan associations, insurance companies and related financial institutions",0.3
299,1616,Financial And Insurance Services Branch Managers,"Examining, evaluating and processing loan applications",0.65
