code,occupation,AI_exposure_index,quartile,wage,no_of_workers
2111,Physicists And Astronomers,0.5,Medium high,6918,236
2112,Meteorologists And Seismologists,1,High,4631,957
2113,Chemists,0.7777777778,Medium high,4911,2267
2114,Geologists And Geophysicists,0.5714285714,Medium high,9718,1030
2121,"Mathematicians, Actuaries And Statisticians",1,High,6295,1436
2131,"Biologists, Botanists, Zoologists And Related Professionals",0.6,Medium high,8705,1037
2132,"Farming, Forestry, Plantation, And Fisheries Advisers",0.9090909091,High,4857,19862
2133,Environmental Protection Professionals,0.7692307692,Medium high,5753,1891
2134,"Pharmacologists, Pathologists And Related Professionals",0.4444444444,Medium high,5608,1775
2141,Industrial And Production Engineers,0.8571428571,High,4664,13131
2142,Civil Engineers,0.7,Medium high,4822,84477
2143,Environmental Engineers,0.8888888889,High,5515,1913
2144,Mechanical Engineers,0.8181818182,Medium high,4983,12840
2145,Chemical Engineers,0.9,High,6346,2915
2146,"Mining Engineers, Metallurgists And Related Professionals",0.9090909091,High,7808,4717
2149,Engineering Professionals (Excluding Electrotechnology) Not Elsewhere Classified,0.5714285714,Medium high,4361,31122
2151,Electrical Engineers,0.8,Medium high,4984,13721
2152,Electronic Engineers,0.5,Medium high,6014,26036
2153,Telecommunications Engineers,0.8571428571,High,4851,4879
2161,Building Architects,0.7272727273,Medium high,4894,10810
2162,Landscape Architects,0.7142857143,Medium high,5857,458
2163,Product And Garment Designers,0.875,High,4030,2431
2164,Town And Traffic Planners,0.7777777778,Medium high,5977,2385
2165,Cartographers And Surveyors,0.625,Medium high,4556,8585
2166,Graphic And Multimedia Designers,0.9,High,4455,27164
2171,Ship Engineers,0.375,Medium low,5462,1439
2172,Ship Deck Officers And Pilots,0.3333333333,Medium low,6716,895
2173,Aircraft Pilots And Related Professionals,0.1818181818,Medium low,17836,1113
2174,Air Traffic Controllers,0.125,Medium low,6734,2588
2175,Train/ Locomotive Controllers,0.75,Medium high,4971,78
2181,Mining Professionals,1,High,NA,NA
2182,Manufacturing Professionals,0.6666666667,Medium high,5366,10708
2183,Construction Professionals,0.75,Medium high,5690,3841
2211,Generalist Medical Practitioners,0.2222222222,Medium low,5911,93946
2212,Specialist Medical Practitioners,0.07142857143,Medium low,7800,1141
2221,Nursing Professionals,0.2,Medium low,3809,17436
2222,Midwifery Professionals,0.2857142857,Medium low,NA,408
2231,Traditional And Complementary Medicine Professionals,0.5714285714,Medium high,3162,941
2241,Paramedical Practitioners,0.5714285714,Medium high,5463,145
2251,Veterinarians,0.2727272727,Medium low,5496,4716
2261,Dentists,0,Low,5744,16829
2262,Pharmacists,0.875,High,5234,35741
2263,Environmental And Occupational Health And Hygiene Professionals,0.8333333333,High,5851,12908
2264,Physiotherapists,0.2307692308,Medium low,5000,8068
2265,Dieticians And Nutritionists,0.9230769231,High,5538,1530
2266,Audiologists And Speech Therapists,0.3076923077,Medium low,2869,157
2267,Optometrists And Ophthalmic Opticians,0.375,Medium low,5960,2967
2268,Occupational Therapists,0.08333333333,Medium low,NA,NA
2269,Health Professionals Not Elsewhere Classified,0.5714285714,Medium high,4852,13072
2311,University And Higher Education Teaching Professionals,0.7777777778,Medium high,7834,104913
2321,Vocational Education Teachers,0.7142857143,Medium high,5480,4048
2331,Secondary School Teachers,0.5714285714,Medium high,5966,272678
2341,Primary School Teachers,0.4285714286,Medium low,5607,245881
2342,Early Childhood Educators,0.1666666667,Medium low,3323,51385
2351,Music Teachers,0.5555555556,Medium high,3750,3191
2352,Arts Teachers,0.6666666667,Medium high,4035,780
2353,Performing Arts Teachers,0.5555555556,Medium high,4080,862
2361,Language Teachers,0.875,High,6105,12025
2371,Religious Teachers,0.375,Medium low,2435,31151
2381,Vocational Training Officers,0.9166666667,High,5371,7901
2391,Education Method Specialists,0.8181818182,Medium high,8024,484
2392,Special Needs Teachers,0.1428571429,Medium low,4466,5414
2393,Information Technology Trainers,0.75,Medium high,NA,244
2399,Teaching Professionals Not Elsewhere Classified,0.6363636364,Medium high,4776,17149
2411,Accountants And Auditors,1,High,4452,167528
2412,Financial And Investment Advisers,1,High,5166,65448
2413,Financial Analysts,1,High,6787,6588
2421,Management And Organisation Analysts,1,High,5234,10347
2422,Policy Administration Professionals,1,High,7212,8848
2423,Personnel And Career Professionals,1,High,4562,30379
2424,Training And Staff Development Professionals,1,High,4490,3816
2425,Administrative Professionals,1,High,4750,111415
2426,Research And Development Professionals,0.8888888889,High,5732,6700
2431,Advertising And Marketing Professionals,1,High,5041,5773
2432,Public Relations Professionals,0.9166666667,High,3901,40984
2433,Technical And Medical Sales Professionals (Excluding ICT),1,High,5983,2741
2434,Information And Communications Technology (ICT) Sales Professionals,1,High,5773,2369
2511,Computer Systems Analysts,1,High,5871,13717
2512,Software Developers,1,High,6387,10013
2513,Web And Multimedia Developers,1,High,3664,854
2514,Application Programmers,1,High,4904,19024
2519,Software And Application Developers And Analysts Not Elsewhere Classified,0.8333333333,Medium high,4492,2973
2521,Database Designers And Administrators,1,High,4953,1205
2522,Information Technology System Administrators,1,High,5447,41837
2523,Computer Network Professionals,0.875,High,4844,3759
2524,Data Professionals,1,High,NA,NA
2531,Cyber Security Professionals,0.7142857143,Medium high,NA,1105
2541,Animation And Visual Effects Professionals,0.7777777778,Medium high,NA,NA
2542,Digital Games And E-Sport Professionals,0.8888888889,High,NA,NA
2543,Creative Contents Designer Professionals,0.8888888889,High,NA,NA
2611,Lawyers,0.25,Medium low,6029,31255
2612,Judges,0.1428571429,Medium low,14663,421
2619,Legal Professionals Not Elsewhere Classified,0.8571428571,High,5587,1419
2711,Hotel Professionals,0.8,Medium high,4907,9301
2712,Restaurant Professionals,0.6666666667,Medium high,3110,4456
2811,Archivists And Curators,0.8888888889,High,4613,879
2812,Librarians And Related Information Professionals,0.875,High,5138,4823
2821,Economists,1,High,5477,6184
2822,"Sociologists, Anthropologists And Related Professionals",0.8,Medium high,6158,370
2823,"Philosophers, Historians And Political Scientists",0.8571428571,High,NA,NA
2824,Psychologists,0.4285714286,Medium low,6120,2799
2825,Social Work And Counselling Professionals,0.5,Medium high,5106,7636
2826,Religious Professionals,0,Low,4263,9728
2831,Authors And Related Writers,1,High,4748,5523
2832,Journalists,0.8888888889,High,5003,3999
2833,"Translators, Interpreters And Other Linguists",1,High,4095,3022
2841,Visual Artists,0.6363636364,Medium high,1922,210
2842,"Musicians, Singers And Composers",0.5,Medium high,3011,1313
2843,Dancers And Choreographers,0,Low,7071,145
2844,"Film, Stage And Related Directors And Producers",0.625,Medium high,6550,2681
2845,Actors,0.4,Medium low,NA,NA
2846,"Announcers On Radio, Television And Other Media",1,High,4595,684
2847,"Clowns, Magicians, Acrobats And Related Professionals",0,Low,NA,NA
2849,Creative And Performing Artists Not Elsewhere Classified,0.75,Medium high,6245,16
2911,Professional Customs And Border Inspectors,0.7,Medium high,5109,7763
2912,Profesional Taxation And Excise Officials,1,High,5277,1991
2913,Professional Government Social Benefit Officials,1,High,7315,462
2914,Professional Government Licensing Officials,1,High,4959,5307
2915,Professional Police Inspectors And Detectives,0.3333333333,Medium low,6201,5633
2916,Professional Civil Officials,0.7777777778,Medium high,5253,885
2919,Regulatory Government Professionals Not Elsewhere Classified,1,High,5218,11202
3111,Chemical And Physical Science Technicians,0.6363636364,Medium high,3436,36539
3112,Civil Engineering Technicians,0.875,High,2924,162578
3113,Electrical Engineering Technicians,1,High,3061,61075
3114,Electronics Engineering Technicians,1,High,2947,18086
3115,Mechanical Engineering Technicians,1,High,2694,128972
3116,Chemical Engineering Technicians,0.8571428571,High,4821,2822
3117,Mining And Metallurgical Technicians,1,High,3079,1716
3118,Draughtspersons And Surveying Technicians,1,High,3347,27329
3119,Industrial And Production Technicians,0.75,Medium high,2820,29688
3121,Mining Supervisors,0.8333333333,Medium high,4337,1708
3122,Manufacturing Supervisors,1,High,2912,88589
3123,Construction Supervisors,0.5,Medium high,2852,72928
3129,Other Supervisors Not Elsewhere Classified,1,High,2802,100272
3131,Power Production Plant Operators,0.4285714286,Medium low,1847,3161
3132,Incinerator And Water Treatment Plant Operators,0.25,Medium low,1764,6261
3133,Chemical Processing Plant Controllers,0.4285714286,Medium low,2613,1397
3134,Petroleum And Natural Gas Refining Plant Operators,0.3333333333,Medium low,1663,2774
3135,Metal Production Process Controllers,0.2222222222,Medium low,2916,481
3141,Life Science Technicians (Excluding Medical),0.6666666667,Medium high,2956,3505
3142,Agricultural And Livestock Technicians,0.5,Medium high,3695,2148
3143,Forestry Technicians,0.5454545455,Medium high,4146,1100
3144,Fishery Technicians,0.5714285714,Medium high,3499,2242
3151,Aircraft Technicians,0,Low,3638,3090
3152,Ship/ Marine Technicians,0.2727272727,Medium low,4296,2787
3153,Train/ Locomotive Technicians,0.2,Medium low,2462,2120
3154,Motor Vehicle Technicians,0,Low,2773,4105
3159,Transport Technicians Not Elsewhere Classified,0.75,Medium high,3367,1913
3161,Nuclear Research And Development Associate Professionals,0.5714285714,Medium high,NA,NA
3211,Medical Imaging And Therapeutic Equipment Technicians,0.1666666667,Medium low,4061,6888
3212,Medical And Pathology Laboratory Technicians,0.25,Medium low,3970,2730
3213,Pharmaceutical Technicians And Assistants,0.4,Medium low,3012,10374
3214,Medical And Dental Prosthetic Technicians,0.1666666667,Medium low,2236,896
3215,Orthotic And Prosthetic Technicians,0.3333333333,Medium low,2845,NA
3221,Nursing Associate Professionals (Except Dental),0,Low,4335,130217
3222,Midwifery Associate Professionals,0.4285714286,Medium high,3812,37156
3231,Traditional And Complementary Medicine Associate Professionals,0.6666666667,Medium high,3265,3913
3241,Veterinary Technicians And Assistants,0.25,Medium low,3437,3303
3251,Dental Assistants And Therapists,0.4285714286,Medium high,3769,9490
3252,Medical Record And Health Information Technicians,1,High,2601,537
3253,Community Health Workers,0.5,Medium high,5963,817
3254,Dispensing Opticians,0.5714285714,Medium high,4115,630
3255,Physiotherapy Technicians And Assistants,0.2,Medium low,2893,1777
3256,Medical Assistants,0.4,Medium low,4193,34650
3257,Environmental And Occupational Health Inspectors And Associates,0.5,Medium high,2003,9372
3258,Ambulance Assistants,0.2,Medium low,1736,453
3259,Health Associate Professionals Not Elsewhere Classified,0.8,Medium high,6695,NA
3311,Securities And Finance Dealers And Brokers,1,High,4389,5324
3312,Credit And Loan Officers,1,High,4442,7552
3313,Accounting And Auditing Associate Professionals,1,High,3248,24343
3314,"Statistical, Mathematical And Actuarial Associate Professionals",1,High,3680,4818
3315,Valuers And Loss Assessors,0.8,Medium high,3544,3773
3321,Insurance Representatives,1,High,4295,73367
3322,Commercial Sales Representatives,1,High,2714,283625
3323,Buyers,1,High,3372,13149
3324,Trade Brokers,1,High,6529,125
3331,Clearing And Forwarding Agents,1,High,4649,2204
3332,Conference And Event Agents,1,High,1813,10230
3333,Employment Agents And Contractors,1,High,2500,11658
3334,Real Estate And Property Agents,1,High,3646,33534
3339,Business Services Agents Not Elsewhere Classified,0.8333333333,Medium high,1813,2217
3341,Administrative Associate Professionals,1,High,3138,14485
3342,Legal Secretaries,0.9,High,3503,1342
3343,Administrative And Executive Secretaries,1,High,2906,18438
3344,Medical Secretaries,1,High,1461,79
3411,Legal And Related Associate Professionals,0.8333333333,High,3262,9565
3511,Information And Communications Technology Operation Technicians,0.7142857143,Medium high,3170,38162
3512,Information And Communications Technology User Support Technicians,0.6666666667,Medium high,2831,13139
3513,Computer Network And Systems Technicians,0.7142857143,Medium high,3296,2058
3514,Web Technicians,1,High,6491,703
3521,Broadcasting And Audio-Visual Technicians,0.5,Medium high,3435,6677
3522,Telecommunications Engineering Technicians,1,High,2891,16690
3611,Social Work Associate Professionals,0.5555555556,Medium high,3679,9118
3621,Athletes And Sports Players,0.2222222222,Medium low,1865,935
3622,"Sports Coaches, Instructors And Officials",0.5714285714,Medium high,3228,7295
3623,Fitness And Recreation Instructors And Programme Leaders,0.5,Medium high,2908,2492
3631,Photographers,0.4545454545,Medium high,2722,10643
3632,Interior Designers And Decorators,0.875,High,3771,18602
3633,"Gallery, Museum And Library Associate Professionals",0.7777777778,Medium high,3299,10630
3634,Cultural And Artistic Associate Professionals,0.5,Medium high,4136,1057
3641,Chefs,0.3333333333,Medium low,3154,4923
3711,Customs And Border Inspector Associate Professionals,0.3333333333,Medium low,2437,1138
3712,Taxation And Excise Official Associate Professionals,0.9,High,4596,1231
3713,Government Social Benefit Official Associate Professionals,1,High,5070,298
3714,Government Licensing Official Associate Professionals,0.8571428571,High,3567,17463
3715,Police Officers,0.1666666667,Medium low,4474,79744
3716,Civil Defence Associate Professionals,1,High,2757,4962
3719,Regulatory Government Associate Professionals Not Elsewhere Classified,0.8,Medium high,3696,5832
4111,General Office Clerks,0.7777777778,Medium high,2042,853983
4121,Secretaries (General),1,High,3046,19713
4131,Typist,1,High,1763,535
4132,Data Entry Clerks,1,High,1833,10971
4211,Bank Tellers And Related Clerks,1,High,2800,56403
4212,"Bookmakers, Croupiers And Related Gaming Workers",0.8333333333,Medium high,1453,1285
4213,Pawnbrokers And Money-Lenders,1,High,2372,207
4214,Debt And Rent Collectors And Related Workers,1,High,1797,5769
4221,Travel Consultants And Related Clerks,1,High,2312,10744
4222,Contact Centre Information Clerks,1,High,1813,18648
4223,Telephone Operators,1,High,2630,5163
4224,Receptionists,0.9166666667,High,1519,26998
4225,Enquiry Clerks,1,High,2316,9434
4226,Survey And Market Research Interviewers,1,High,2374,350
4229,Client Information Workers Not Elsewhere Classified,1,High,2931,NA
4311,Accounting And Book-Keeping Clerks,1,High,1933,172216
4312,"Statistical, Finance And Insurance Clerks",1,High,2339,56249
4313,Payroll Clerks,1,High,1645,1100
4321,Stock Clerks,0.6666666667,Medium high,1861,100053
4322,Production Clerks,1,High,2492,30745
4323,Transport Clerks,1,High,2744,9458
4411,Library Clerks,0.8571428571,High,3854,512
4412,Mail Carriers And Sorting Clerks,0.4,Medium low,2147,16512
4413,"Coding, Proof-Reading And Related Clerks",1,High,2110,1290
4414,Scribes And Related Workers,1,High,2424,139
4415,Filing And Copying Clerks,0.8333333333,High,2636,12045
4416,Personnel Clerks,1,High,2519,17973
4419,Clerical Support Workers Not Elsewhere Classified,1,High,2316,62980
5111,Travel Attendants And Travel Stewards,0,Low,2011,7161
5112,Transport Conductors,0.25,Medium low,1845,1493
5113,Travel Guides,0.6666666667,Medium high,1730,5970
5121,Cooks,0.3333333333,Medium low,1622,221744
5131,Waiters,0.1428571429,Medium low,1211,343554
5132,Bartenders,0.2222222222,Medium low,1140,2296
5141,Hairdressers,0.1428571429,Medium low,1679,81645
5142,Beauticians And Related Workers,0.07692307692,Medium low,1812,48553
5151,"Cleaning And Housekeeping Supervisors In Offices, Hotels And Other Establishments",0.1111111111,Medium low,1618,12108
5152,Domestic Housekeepers,0.1,Medium low,2101,4277
5153,Building Caretakers,0.375,Medium low,2331,11021
5161,"Astrologers, Fortune-Tellers And Related Workers",1,High,NA,NA
5162,Companions And Valets,0,Low,NA,NA
5163,Undertakers And Embalmers,0.125,Medium low,1845,1744
5164,Pet Groomers And Animal Care Workers,0,Low,1692,1680
5165,Driving Instructors,0.3333333333,Medium low,1769,3968
5169,Personal Services Workers Not Elsewhere Classified,0,Low,2133,6584
5211,Stall And Market Salespersons,0.6666666667,Medium high,1692,351636
5212,Street Food Salespersons,0,Low,1613,384247
5221,Shopkeepers,0.4285714286,Medium high,1845,201453
5222,Shop Supervisors,0.7777777778,Medium high,1995,50138
5223,Shop Sales Assistants,0.7777777778,Medium high,1317,769903
5231,Cashiers And Ticket Clerks,0.3333333333,Medium low,1338,153782
5241,Fashion And Other Models,0.1666666667,Medium low,1733,101
5242,Sales Demonstrators,0.5714285714,Medium high,1592,72751
5243,Door-To-Door Salespersons,0.4285714286,Medium high,1800,41197
5244,Contact Centre Salespersons,1,High,2065,174588
5245,Service Station And Pump Attendants,0.1111111111,Medium low,1226,12529
5246,Food Counter Attendants,0.2,Medium low,1163,1560
5249,Sales Workers Not Elsewhere Classified,0.5714285714,Medium high,2484,800
5311,Child Care Workers,0,Low,1491,44384
5312,Teachers Aides,0.125,Medium low,2765,39185
5321,Health Care Assistants,0,Low,2695,43910
5322,Home-Based Personal Care Workers,0.2,Medium low,1060,2653
5411,Fire Fighters,0.125,Medium low,3506,16307
5412,Low Rank Police Officers,0.125,Medium low,3854,42314
5413,Prison Guards,0,Low,3523,14251
5414,Security Guards,0,Low,1642,377707
5415,Immigration/ Customs Officers And Assistants,0.6,Medium high,3376,57280
5419,Protective Services Workers Not Elsewhere Classified,0,Low,1739,4832
6111,Field Crop Growers,0.5,Medium high,1901,467340
6112,Shrub Crop Growers,0.5714285714,Medium high,1527,2609
6113,"Gardeners, Horticultural And Nursery Growers",0.125,Medium low,2918,25064
6114,Mixed Crop Growers,0.4,Medium low,2784,4631
6115,Vegetable Growers,0.3333333333,Medium low,NA,81181
6121,Livestock And Dairy Producers,0.3,Medium low,1250,9727
6122,Poultry Producers,0.2,Medium low,2739,6898
6123,Apiarists And Sericulturists,0.5,Medium high,1928,576
6129,Animal Producers And Related Workers Not Elsewhere Classified,0.25,Medium low,2122,55
6131,Mixed Crop And Animal Producers,0.4444444444,Medium high,2188,219
6211,Skilled Forestry And Related Workers,0,Low,2522,4761
6221,Fishery And Aquaculture Producers,0.1111111111,Medium low,1570,6973
6222,Skilled Inland And Coastal Waters Fishery Workers,0,Low,1430,67544
6223,Skilled Deep-Sea Fishery Workers,0,Low,1120,6506
6224,Hunters And Trappers,0,Low,2092,830
6311,Subsistence Crop Farmers,0.2,Medium low,2092,4985
6321,Subsistence Livestock Farmers,0.5,Medium high,1487,52
6331,Subsistence Mixed Crop And Livestock Farmers,0.4444444444,Medium high,1947,268
7111,House Builders And Construction Workers,0,Low,NA,140493
7112,Bricklayers And Related Workers,0,Low,1312,15967
7113,"Stonemasons, Stone Cutters, Splitters And Carvers",0,Low,NA,1552
7114,"Concrete Placers, Concrete Finishers And Related Workers",0,Low,1442,12018
7115,Carpenters And Joiners,0,Low,1676,50281
7119,Building Frame And Related Trades Workers Not Elsewhere Classified,0,Low,1724,13674
7121,Roofers,0.2,Medium low,1296,5960
7122,Floor Layers And Tile Setters,0,Low,1733,16751
7123,Plasterers,0,Low,1664,6005
7124,Insulation Workers,0.1666666667,Medium low,1469,703
7125,Glaziers,0,Low,1595,1994
7126,Plumbers And Pipe Fitters,0,Low,2183,29241
7127,Air Conditioning And Refrigeration Mechanics,0.2,Medium low,1833,19702
7131,Painters And Related Workers,0,Low,1442,23951
7132,Spray Painters And Varnishers,0,Low,1730,13280
7133,Building Structure Cleaners,0,Low,2297,1007
7211,Metal Moulders And Coremakers,0,Low,2910,347
7212,Welders And Flame Cutters,0,Low,1797,99196
7213,Sheet-Metal Workers,0,Low,2083,1604
7214,Structural-Metal Preparers And Erectors,0,Low,1845,559
7215,Riggers And Cable Splicers,0,Low,1845,5150
7221,"Blacksmiths, Hammersmiths And Forging-Press Workers",0,Low,2794,11890
7222,Toolmakers And Related Workers,0,Low,1821,429
7223,Metal Working Machine Tool Setters And Operators,0,Low,1692,1681
7224,"Metal Polishers, Wheel Grinders And Tool Sharpeners",0,Low,1845,360
7231,Motor Vehicle Mechanics And Repairers,0,Low,1845,313224
7232,Aircraft Engine Mechanics And Repairers,0,Low,2891,887
7233,Agricultural And Industrial Machinery Mechanics And Repairers,0,Low,1816,21841
7234,Bicycle And Related Repairers,0,Low,NA,1334
7239,Machinery Mechanics And Repairers Not Elsewhere Classified,0,Low,1918,2849
7311,Precision Instrument Makers And Repairers,0,Low,2045,1023
7312,Musical Instrument Makers And Tuners,0,Low,1130,294
7313,Jewellery And Precious Metal Workers,0,Low,2549,4946
7314,Potters And Related Workers,0,Low,NA,NA
7315,"Glass Makers, Cutters, Grinders And Finishers",0.1666666667,Medium low,1272,950
7316,"Sign Writers, Decorative Painters, Engravers And Etchers",0,Low,1678,1709
7317,"Handicraft Workers In Wood, Basketry And Related Materials",0,Low,1667,2970
7318,"Handicraft Workers In Textile, Leather And Related Materials",0,Low,1692,1869
7319,Handicraft Workers Not Elsewhere Classified,0,Low,1833,410
7321,Pre-Press Workers,0.8333333333,High,1924,2829
7322,Printers,0.25,Medium low,1692,9409
7323,Print Finishing And Binding Workers,0,Low,1505,1419
7324,Printing And Photo Engravers And Etchers,0,Low,NA,NA
7411,Building And Related Electricians,0,Low,1847,75827
7412,Electrical Mechanics And Fitters,0,Low,1845,56299
7413,Electrical Line Installers And Repairers,0,Low,1674,19139
7421,Electronics Mechanics And Services,0,Low,2349,6412
7422,Information And Communications Technology Installers And Services,0.1428571429,Medium low,1930,14965
7511,Meat And Fish Processing Workers And Related Food Preparers,0,Low,1199,3288
7512,"Bakers, Pastry And Pasta-Cooks, And Confectionery Makers",0,Low,2475,129901
7513,Dairy-Product Makers,0,Low,1692,79
7514,"Fruit, Vegetable And Related Preservers",0,Low,3934,656
7515,Food And Beverage Tasters And Graders,0,Low,1336,12509
7516,Tobacco Preparers And Tobacco Product Makers,0,Low,2513,214
7611,Wood Treaters,0,Low,NA,NA
7612,Cabinet-Makers And Related Workers,0,Low,1492,25691
7613,Woodworking-Machine Tool Setters And Operators,0,Low,1612,10238
7621,"Tailors, Dressmakers, Furriers And Hatters",0,Low,1692,89012
7622,Garment And Related Pattern-Makers And Cutters,0,Low,1930,896
7623,Shoemakers And Related Workers,0,Low,2728,4089
7624,Upholsterers And Related Workers,0,Low,1212,1256
7625,"Pelt Dressers, Tanners And Fellmongers",0,Low,NA,NA
7631,Underwater Divers,0.1,Medium low,1938,522
7632,Shotfirers And Blasters,0.125,Medium low,1263,168
7633,Product Graders And Testers (Excluding Foods And Beverages),0.2857142857,Medium low,1204,5392
7634,Fumigators And Pest And Weed Controllers,0.4444444444,Medium high,1514,1590
7639,Other Related Craft Workers Not Elsewhere Classified,0,Low,2556,1092
8111,Miners And Quarry Workers,0,Low,2290,1923
8112,Mineral And Stone Processing Plant Operators,0,Low,2618,797
8113,Well Drillers And Borers And Related Workers,0,Low,2680,906
8114,"Cement, Stone And Other Mineral Products Machine Operators",0,Low,1869,4334
8121,Metal Processing Plant Operators,0,Low,1840,4201
8122,"Metal Finishing, Plating And Coating Machine Operators",0,Low,2800,1456
8131,Chemical Products Plant And Machine Operators,0,Low,2280,8162
8132,Photographic Products Machine Operators,0.1428571429,Medium low,1692,2455
8141,Rubber Products Machine Operators,0,Low,1730,20723
8142,Plastic Products Machine Operators,0,Low,1480,11276
8143,Paper Products Machine Operators,0,Low,1632,6684
8151,"Fibre Preparing, Spinning And Winding Machine Operators",0,Low,1726,675
8152,Weaving And Knitting Machine Operators,0,Low,1692,956
8153,Sewing Machine Operators,0,Low,1017,729
8154,"Bleaching, Dyeing And Fabric Cleaning Machine Operators",0,Low,1845,524
8155,Fur And Leather Preparing Machine Operators,0,Low,NA,NA
8156,Shoemaking And Related Machine Operators,0,Low,1730,714
8157,Laundry Machine Operators,0,Low,1095,262
8159,"Textile, Fur And Leather Products Machine Operators Not Elesewhere Classified",0,Low,1263,2052
8161,Food And Related Products Machine Operators,0,Low,1542,35409
8171,Pulp And Papermaking Plant Operators,0,Low,1692,1817
8172,Wood Processing Plant Operators,0,Low,1412,48025
8173,Wood Products Machine Operators,0,Low,1318,14032
8181,Glass And Ceramics Plant Operators,0,Low,1516,2273
8182,Steam Engine And Boiler Operators,0,Low,1730,7352
8183,"Packing, Bottling And Labelling Machine Operators",0,Low,1603,43878
8189,Stationary Plant And Machine Operators Not Elsewhere Classified,0,Low,1747,486305
8211,Mechanical Machinery Assemblers,0,Low,1861,21146
8212,Electrical And Electronic Equipment Assemblers,0,Low,1776,38212
8213,"Leather, Metal, Rubber And Plastic Products Assemblers",0,Low,1500,5929
8219,Assemblers Not Elsewhere Classified,0,Low,1501,3837
8221,Machine-Tool Setter-Operators,0,Low,1730,13724
8311,Locomotive Engine Drivers,0.2,Medium low,2307,1569
8312,"Railway Brake, Signal And Switch Operators",0,Low,1874,996
8321,Motorcycle Riders (Drivers),0.2,Medium low,1814,54021
8322,"Car, Taxi And Van Drivers",0.1666666667,Medium low,2504,191833
8331,Bus And Tram Drivers,0,Low,2029,21715
8332,Heavy Truck And Lorry Drivers,0.1666666667,Medium low,1692,406748
8341,Mobile Farm And Forestry Plant Operators,0,Low,1513,28259
8342,Earth-Moving And Related Plant Operators,0,Low,1527,20258
8343,"Crane, Hoist And Related Plant Operators",0,Low,1830,12082
8344,Lifting Truck Operators,0.2,Medium low,1845,15165
8351,Ships Deck Crews And Related Workers,0,Low,1644,10332
9112,"Cleaners And Helpers In Offices, Hotels And Other Establishments",0,Low,1414,196944
9121,Hand Launderers And Ironers,0,Low,1674,4326
9312,Civil Engineering Labourers,0,Low,1153,34622
9313,Building Construction Labourers,0,Low,1240,199392
9333,Transport And Storage Labourers,0.1111111111,Medium low,1512,35228
9334,Shelf Fillers,0,Low,1601,5664
9411,Fast Food Preparers,0.125,Medium low,1302,14146
9412,Kitchen Helpers,0,Low,1211,25608
9511,Street And Related Service Workers,0.1111111111,Medium low,1220,1310
9521,Street Vendors (Excluding Food),0,Low,1757,25988
9611,Garbage Collectors,0,Low,1211,7312
9613,Sweepers And Related Labourers,0,Low,1315,39585
9621,"Messengers, Package Deliverers And Luggage Porters",0,Low,1882,97150
9622,Odd-Job Persons,0,Low,1857,234826
9623,Meter Readers And Vending-Machine Collectors,0,Low,1657,5415
9625,Attendants,0.2222222222,Medium low,2157,19333
